seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,sensing_interval
15,25,0.25,1,28,2861.536284,FALSE,TRUE,3.7
16,25,0.25,1,13,1444.107062,FALSE,TRUE,3.7
17,25,0.25,1,47,4821.98433,FALSE,TRUE,3.7
18,25,0.25,1,38,3883.505725,FALSE,TRUE,3.7
19,25,0.25,1,9,1028.228024,FALSE,TRUE,3.7
0,25,0.25,1,4,613.0059597,FALSE,TRUE,3.9
1,25,0.25,1,13,1685.346008,FALSE,TRUE,3.9
2,25,0.25,1,12,1601.338007,FALSE,TRUE,3.9
3,25,0.25,1,5,749.5679016,FALSE,TRUE,3.9
4,25,0.25,1,9,1213.717393,FALSE,TRUE,3.9
5,25,0.25,1,14,1780.987849,FALSE,TRUE,3.9
6,25,0.25,1,5,786.2283402,FALSE,TRUE,3.9
7,25,0.25,1,19,2420.395948,FALSE,TRUE,3.9
8,25,0.25,1,13,1713.58966,FALSE,TRUE,3.9
9,25,0.25,1,11,1453.26778,FALSE,TRUE,3.9
10,25,0.25,1,13,1703.52679,FALSE,TRUE,3.9
11,25,0.25,1,11,1443.286635,FALSE,TRUE,3.9
12,25,0.25,1,4,631.9686441,FALSE,TRUE,3.9
13,25,0.25,1,11,1509.033758,FALSE,TRUE,3.9
14,25,0.25,1,9,1217.030904,FALSE,TRUE,3.9
15,25,0.25,1,15,1954.897428,FALSE,TRUE,3.9
16,25,0.25,1,6,839.8511262,FALSE,TRUE,3.9
17,25,0.25,1,10,1343.709689,FALSE,TRUE,3.9
18,25,0.25,1,11,1507.436919,FALSE,TRUE,3.9
19,25,0.25,1,15,1918.726904,FALSE,TRUE,3.9
0,25,0.25,1,4,685.9197291,FALSE,TRUE,4.1
1,25,0.25,1,4,670.8362374,FALSE,TRUE,4.1
2,25,0.25,1,9,1472.746653,FALSE,TRUE,4.1
3,25,0.25,1,5,863.0240129,FALSE,TRUE,4.1
4,25,0.25,1,7,1135.384833,FALSE,TRUE,4.1
5,25,0.25,1,4,679.1641462,FALSE,TRUE,4.1
6,25,0.25,1,4,701.1931242,FALSE,TRUE,4.1
7,25,0.25,1,7,1127.335081,FALSE,TRUE,4.1
8,25,0.25,1,7,1134.092902,FALSE,TRUE,4.1
9,25,0.25,1,12,1892.179916,FALSE,TRUE,4.1
10,25,0.25,1,4,675.3290397,FALSE,TRUE,4.1
11,25,0.25,1,10,1607.953068,FALSE,TRUE,4.1
12,25,0.25,1,4,692.4073737,FALSE,TRUE,4.1
13,25,0.25,1,9,1461.340716,FALSE,TRUE,4.1
14,25,0.25,1,7,1160.609277,FALSE,TRUE,4.1
15,25,0.25,1,8,1290.581305,FALSE,TRUE,4.1
16,25,0.25,1,9,1415.535652,FALSE,TRUE,4.1
17,25,0.25,1,5,837.2950572,FALSE,TRUE,4.1
18,25,0.25,1,12,1907.080009,FALSE,TRUE,4.1
19,25,0.25,1,6,995.5160567,FALSE,TRUE,4.1
0,25,0.25,1,9,1567.004071,FALSE,TRUE,4.3
1,25,0.25,1,4,767.8400765,FALSE,TRUE,4.3
2,25,0.25,1,6,1089.50899,FALSE,TRUE,4.3
3,25,0.25,1,7,1278.668157,FALSE,TRUE,4.3
4,25,0.25,1,6,1068.85418,FALSE,TRUE,4.3
5,25,0.25,1,4,755.3391653,FALSE,TRUE,4.3
6,25,0.25,1,4,761.7380796,FALSE,TRUE,4.3
7,25,0.25,1,6,1078.046345,FALSE,TRUE,4.3
