seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged
14,2,0.5,3.4,159,11.62574529,TRUE,TRUE
14,2,0.5,3.6,1,0,TRUE,TRUE
14,2,0.5,3.8,111,2.68626077,TRUE,TRUE
14,2,0.5,4,149,6.230861578,TRUE,TRUE
14,2,0.5,4.2,173,9.147371881,TRUE,TRUE
14,2,0.5,4.4,149,4.853607908,TRUE,TRUE
14,2,0.5,4.6,147,4.259391656,TRUE,TRUE
14,2,0.5,4.8,150,4.086384719,TRUE,TRUE
15,2,0.5,0.2,58,7.568664109,TRUE,TRUE
15,2,0.5,0.4,63,8.619107927,TRUE,TRUE
15,2,0.5,0.6,52,6.375813851,TRUE,TRUE
15,2,0.5,0.8,77,11.519936,TRUE,TRUE
15,2,0.5,1,56,7.160348534,TRUE,TRUE
15,2,0.5,1.2,66,8.718006571,TRUE,TRUE
15,2,0.5,1.4,64,7.705887336,TRUE,TRUE
15,2,0.5,1.6,77,9.124238759,TRUE,TRUE
15,2,0.5,1.8,44,0.909662288,TRUE,TRUE
15,2,0.5,2,87,7.397735291,TRUE,TRUE
15,2,0.5,2.2,72,2.908898252,TRUE,TRUE
15,2,0.5,2.4,102,7.038841411,TRUE,TRUE
15,2,0.5,2.6,122,9.63923116,TRUE,TRUE
15,2,0.5,2.8,125,8.762133451,TRUE,TRUE
15,2,0.5,3,98,3.185023333,TRUE,TRUE
15,2,0.5,3.2,131,7.227752493,TRUE,TRUE
15,2,0.5,3.4,116,4.027153475,TRUE,TRUE
15,2,0.5,3.6,153,9.080296858,TRUE,TRUE
15,2,0.5,3.8,140,5.706628949,TRUE,TRUE
15,2,0.5,4,154,6.958806877,TRUE,TRUE
15,2,0.5,4.2,176,9.733275479,TRUE,TRUE
15,2,0.5,4.4,187,10.71363069,TRUE,TRUE
15,2,0.5,4.6,137,3.356151618,TRUE,TRUE
15,2,0.5,4.8,179,7.303400413,TRUE,TRUE
16,2,0.5,0.2,48,5.478519149,TRUE,TRUE
16,2,0.5,0.4,61,8.268841219,TRUE,TRUE
16,2,0.5,0.6,67,9.4368677,TRUE,TRUE
16,2,0.5,0.8,61,8.189118286,TRUE,TRUE
16,2,0.5,1,50,5.781841476,TRUE,TRUE
16,2,0.5,1.2,64,8.384951734,TRUE,TRUE
16,2,0.5,1.4,45,2.923934948,TRUE,TRUE
16,2,0.5,1.6,50,2.782339337,TRUE,TRUE
16,2,0.5,1.8,84,8.820657835,TRUE,TRUE
16,2,0.5,2,72,4.179214273,TRUE,TRUE
16,2,0.5,2.2,105,9.43039989,TRUE,TRUE
16,2,0.5,2.4,118,10.33263262,TRUE,TRUE
16,2,0.5,2.6,123,9.809948425,TRUE,TRUE
16,2,0.5,2.8,78,1.835867781,TRUE,TRUE
16,2,0.5,3,134,9.247752405,TRUE,TRUE
16,2,0.5,3.2,146,10.32781842,TRUE,TRUE
16,2,0.5,3.4,126,5.39386676,TRUE,TRUE
16,2,0.5,3.6,144,7.19928862,TRUE,TRUE
16,2,0.5,3.8,138,5.497509177,TRUE,TRUE
16,2,0.5,4,127,3.646496957,TRUE,TRUE
16,2,0.5,4.2,179,10.32519047,TRUE,TRUE
16,2,0.5,4.4,150,5.038198757,TRUE,TRUE
16,2,0.5,4.6,142,3.753263237,TRUE,TRUE
16,2,0.5,4.8,196,10.1058124,TRUE,TRUE
17,2,0.5,0.2,100,11.85746605,TRUE,TRUE
17,2,0.5,0.4,57,7.359652024,TRUE,TRUE
17,2,0.5,0.6,60,8.063892689,TRUE,TRUE
17,2,0.5,0.8,64,8.858429276,TRUE,TRUE
17,2,0.5,1,75,11.11722759,TRUE,TRUE
17,2,0.5,1.2,87,13.19894156,TRUE,TRUE
17,2,0.5,1.4,59,6.635094057,TRUE,TRUE
17,2,0.5,1.6,74,8.579780044,TRUE,TRUE
17,2,0.5,1.8,71,6.134139371,TRUE,TRUE
17,2,0.5,2,83,6.711892229,TRUE,TRUE
17,2,0.5,2.2,58,1.347446337,TRUE,TRUE
17,2,0.5,2.4,112,9.204146575,TRUE,TRUE
17,2,0.5,2.6,112,7.491954662,TRUE,TRUE
17,2,0.5,2.8,98,3.863558171,TRUE,TRUE
17,2,0.5,3,1,0,TRUE,TRUE
17,2,0.5,3.2,1,0,TRUE,TRUE
17,2,0.5,3.4,139,7.513491975,TRUE,TRUE
17,2,0.5,3.6,106,2.624797871,TRUE,TRUE
17,2,0.5,3.8,168,10.79817361,TRUE,TRUE
17,2,0.5,4,174,10.72914136,TRUE,TRUE
17,2,0.5,4.2,154,6.08725005,TRUE,TRUE
17,2,0.5,4.4,163,6.609530724,TRUE,TRUE
17,2,0.5,4.6,198,11.68646957,TRUE,TRUE
17,2,0.5,4.8,167,5.771149277,TRUE,TRUE
18,2,0.5,0.2,83,12.83890643,TRUE,TRUE
18,2,0.5,0.4,74,10.95237985,TRUE,TRUE
18,2,0.5,0.6,32,1.34690331,TRUE,TRUE
18,2,0.5,0.8,69,9.979531104,TRUE,TRUE
18,2,0.5,1,41,3.298040899,TRUE,TRUE
18,2,0.5,1.2,69,9.277404496,TRUE,TRUE
18,2,0.5,1.4,61,7.008474499,TRUE,TRUE
18,2,0.5,1.6,82,10.26823012,TRUE,TRUE
18,2,0.5,1.8,100,12.15649824,TRUE,TRUE
18,2,0.5,2,73,4.38568037,TRUE,TRUE
18,2,0.5,2.2,84,4.950458985,TRUE,TRUE
18,2,0.5,2.4,93,5.044923267,TRUE,TRUE
18,2,0.5,2.6,108,6.727283691,TRUE,TRUE
18,2,0.5,2.8,96,3.578335551,TRUE,TRUE
18,2,0.5,3,96,3.020476033,TRUE,TRUE
18,2,0.5,3.2,130,6.907100678,TRUE,TRUE
18,2,0.5,3.4,113,3.680967822,TRUE,TRUE
18,2,0.5,3.6,159,10.15912814,TRUE,TRUE
18,2,0.5,3.8,157,8.590705807,TRUE,TRUE
18,2,0.5,4,153,6.784214016,TRUE,TRUE
18,2,0.5,4.2,173,9.258980989,TRUE,TRUE
18,2,0.5,4.4,178,8.970764677,TRUE,TRUE
18,2,0.5,4.6,182,8.72930585,TRUE,TRUE
18,2,0.5,4.8,201,11.15385014,TRUE,TRUE
19,2,0.5,0.2,1,0,TRUE,TRUE
19,2,0.5,0.4,35,2.785130887,TRUE,TRUE
19,2,0.5,0.6,78,11.78213158,TRUE,TRUE
19,2,0.5,0.8,35,1.996299614,TRUE,TRUE
19,2,0.5,1,53,6.434621951,TRUE,TRUE
19,2,0.5,1.2,38,1.859564637,TRUE,TRUE
19,2,0.5,1.4,84,11.78754745,TRUE,TRUE
19,2,0.5,1.6,44,1.543877934,TRUE,TRUE
19,2,0.5,1.8,59,3.155447273,TRUE,TRUE
19,2,0.5,2,50,1.145444766,TRUE,TRUE
19,2,0.5,2.2,113,11.07600425,TRUE,TRUE
19,2,0.5,2.4,66,1.65374215,TRUE,TRUE
19,2,0.5,2.6,107,6.452502016,TRUE,TRUE
